Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TMV,TMV,TMV,TMV,TMV,TMV
Date,,,,,,
2018-01-05 00:00:00+00:00,40.99177169799805,45.25,45.599998474121094,44.75,45.025001525878906,509520
2018-01-08 00:00:00+00:00,41.105003356933594,45.375,45.79999923706055,44.900001525878906,44.974998474121094,235120
2018-01-09 00:00:00+00:00,42.735618591308594,47.17499923706055,47.29999923706055,46.17499923706055,46.20000076293945,727760
2018-01-10 00:00:00+00:00,42.87150192260742,47.32500076293945,48.625,47.150001525878906,48.42499923706055,629200
2018-01-11 00:00:00+00:00,42.327964782714844,46.724998474121094,47.875,46.400001525878906,47.650001525878906,536120
2018-01-12 00:00:00+00:00,42.10148620605469,46.474998474121094,47.20000076293945,46.20000076293945,46.95000076293945,357000
2018-01-16 00:00:00+00:00,41.648536682128906,45.974998474121094,46.45000076293945,45.650001525878906,45.67499923706055,776720
2018-01-17 00:00:00+00:00,41.78443145751953,46.125,46.400001525878906,45.29999923706055,45.95000076293945,560920
2018-01-18 00:00:00+00:00,42.91680145263672,47.375,47.599998474121094,46.79999923706055,47.20000076293945,380880
2018-01-19 00:00:00+00:00,43.641510009765625,48.17499923706055,48.25,47.599998474121094,47.75,406080
2018-01-22 00:00:00+00:00,43.550926208496094,48.07500076293945,48.25,47.42499923706055,47.724998474121094,490120
2018-01-23 00:00:00+00:00,42.939449310302734,47.400001525878906,47.95000076293945,46.875,47.275001525878906,310200
2018-01-24 00:00:00+00:00,43.68680953979492,48.224998474121094,48.775001525878906,48.099998474121094,48.375,466920
2018-01-25 00:00:00+00:00,42.62237548828125,47.04999923706055,48.474998474121094,46.900001525878906,48.04999923706055,503760
2018-01-26 00:00:00+00:00,43.165924072265625,47.650001525878906,48.099998474121094,47.20000076293945,47.25,322800
2018-01-29 00:00:00+00:00,43.95858383178711,48.525001525878906,49.04999923706055,48.25,48.25,523960
2018-01-30 00:00:00+00:00,44.751243591308594,49.400001525878906,49.75,49.0,49.099998474121094,452200
2018-01-31 00:00:00+00:00,43.981224060058594,48.54999923706055,49.5,48.29999923706055,48.400001525878906,552280
2018-02-01 00:00:00+00:00,45.83831024169922,50.599998474121094,50.724998474121094,48.474998474121094,48.525001525878906,718640
2018-02-02 00:00:00+00:00,47.17451095581055,52.07500076293945,52.5,51.224998474121094,51.400001525878906,1099960
